CSA2010,dirtyst10,dirtyst11,dirtyst12,dirtyst13,dirtyst14,clogged10,clogged11,clogged12,clogged13,clogged14,drvalone14,carpool14,pubtran14,walked14,trav14_14,trav29_14,trav44_14,trav45_14,wlksc11,novhcl14,trees11,cmos11,cmos12,cmos13,cmos14,heatgas14,elheat14,weather10,weather11,weather12,weather13,weather14,regvote10,regvote12,regvote14,voted10,voted12,voted14
CSA2010,"Rate of Dirty Streets and Alleys Reports per 1,000 Residents (2010)","Rate of Dirty Streets and Alleys Reports per 1,000 Residents (2011)","Rate of Dirty Streets and Alleys Reports per 1,000 Residents (2012)","Rate of Dirty Streets and Alleys Reports per 1,000 Residents (2013)","Rate of Dirty Streets and Alleys Reports per 1,000 Residents (2014)","Rate of Clogged Storm Drain Reports per 1,000 Residents (2010)","Rate of Clogged Storm Drain Reports per 1,000 Residents (2011)","Rate of Clogged Storm Drain Reports per 1,000 Residents (2012)","Rate of Clogged Storm Drain Reports per 1,000 Residents (2013)","Rate of Clogged Storm Drain Reports per 1,000 Residents (2014)",Percent of Population that Drove Alone to Work (2010-2014),Percent of Population that Carpool to Work (2010-2014),Percent of Population that Uses Public Transportation to Get to Work (2010-2014),Percent of Population that Walks to Work (2010-2014),Percent of Employed Population with Travel Time to Work of 0-14 Minutes (2010-2014),Percent of Employed Population with Travel Time to Work of 15-29 Minutes (2010-2014),Percent of Employed Population with Travel Time to Work of 30-44 Minutes (2010-2014),Percent of Employed Population with Travel Time to Work of 45 Minutes and Over (2010-2014),Walk Score (2011),Percent of Households with No Vehicles Available (2010-2014),Percent of Area Covered by Trees (2011),Number of Community Managed Open Spaces (2011),Number of Community Managed Open Spaces (2012),Number of Community Managed Open Spaces (2013),Number of Community Managed Open Spaces (2014),Percent of Residences Heated by Utility Gas (2010-2014),Percent of Residences Heated by Electricity (2010-2014),Percent of Residential Properties Weatherized (2010),Percent of Residential Properties Weatherized (2011),Percent of Residential Properties Weatherized (2012),Percent of Residential Properties Weatherized (2013),Percent of Residential Properties Weatherized (2014),Percent  of Population (Over the age of 18) Who are Registered to Vote (2010),Percent  of Population (Over the age of 18) Who are Registered to Vote (2012),Percent  of Population (Over the age of 18) Who are Registered to Vote (2014),Percent  Population (Over the age of 18) Who Voted in the General Election (2010),Percent  Population (Over the age of 18) Who Voted in the General Election (2012),Percent  Population (Over the age of 18) Who Voted in the General Election (2014)
Orangeville/East Highlandtown,109.1,110.4,100.6,76.8,106.3,11.4,12.9,9.0,6.6,5.4,49.5,22.1,19.6,7.2,13.7,35.6,29.2,21.4,50.8,26.1,12.3,7,0,0,1,64.4,20.3,0.1,0.0,0.1,0.1,0.1,53.2,56.5,56.6,34.0,31.5,28.9
Patterson Park North & East,392.3,191.9,187.4,126.8,162.5,10.7,7.0,5.2,6.9,4.5,60.6,12.9,14.8,8.3,15.3,38.2,29.4,17.0,79.8,26.0,5.2,56,0,0,43,68.7,23.6,0.0,0.1,0.1,0.2,0.1,71.0,65.7,73.2,37.2,43.5,31.7
Penn North/Reservoir Hill,84.2,91.8,127.5,94.6,68.3,4.4,5.1,7.8,7.8,2.3,49.3,17.5,24.7,4.3,18.1,36.7,23.9,21.4,74.2,43.3,42.9,35,0,0,58,60.2,33.4,0.2,0.1,0.1,0.3,0.0,80.3,83.0,81.2,42.9,58.8,36.5
Pimlico/Arlington/Hilltop,79.0,73.5,70.8,45.9,38.5,4.1,8.0,9.2,7.4,5.7,51.9,8.6,30.4,7.0,11.6,39.3,24.6,24.4,65.9,44.0,22.9,12,0,0,4,66.9,20.0,0.7,0.5,0.3,0.5,0.1,77.2,78.9,75.8,41.1,53.7,34.6
Poppleton/The Terraces/Hollins Market,57.0,104.6,121.9,101.7,86.7,3.1,5.1,5.9,7.7,2.4,45.5,5.2,25.8,21.4,21.1,38.6,15.8,24.6,89.5,58.9,13.9,13,0,0,19,61.2,33.9,0.2,9.0,24.9,0.1,0.5,74.3,83.3,77.1,36.5,53.4,30.6
Sandtown-Winchester/Harlem Park,157.7,152.7,205.5,128.8,111.2,5.2,7.9,12.9,8.6,4.1,41.5,9.7,43.7,2.4,13.6,30.6,21.8,34.1,72.7,56.3,15.4,30,0,0,74,65.8,26.7,0.3,0.3,0.3,0.3,0.3,79.6,75.7,75.8,35.0,49.0,29.7
South Baltimore,15.8,19.5,28.3,34.2,32.0,5.4,4.3,4.8,5.2,3.0,80.0,7.2,4.5,6.4,23.2,36.5,25.4,14.9,44.6,10.1,5.2,6,0,0,1,73.4,22.0,0.0,0.0,0.0,0.0,0.0,76.5,76.9,92.5,46.6,56.6,41.5
Southeastern,28.0,25.2,31.0,24.9,29.1,10.2,8.0,5.6,7.0,4.2,67.3,7.8,16.3,6.6,23.7,33.2,27.8,15.3,25.8,33.5,5.0,2,0,0,2,75.1,19.1,0.0,0.1,0.1,0.1,0.0,59.7,55.5,57.4,33.8,30.4,27.8
Southern Park Heights,77.9,84.8,108.9,67.4,54.3,2.6,6.2,7.5,8.8,3.0,48.9,10.0,35.7,4.4,9.3,36.4,25.9,28.3,53.2,45.1,29.3,16,0,0,21,68.9,22.8,1.3,0.3,0.4,0.4,0.2,79.8,73.8,79.1,38.0,49.2,30.6
Southwest Baltimore,253.6,195.5,217.9,152.8,134.1,5.4,8.9,9.3,12.1,3.3,44.1,10.8,34.3,7.6,14.6,36.3,24.4,24.7,77.4,52.8,14.1,102,0,0,101,61.0,31.0,0.4,0.4,0.2,0.1,0.1,70.1,70.5,66.9,33.4,41.2,28.0
The Waverlies,84.2,80.7,87.3,49.7,59.7,8.1,11.2,9.9,7.0,3.1,55.1,8.1,25.9,3.9,14.9,39.5,24.1,21.5,76.6,39.6,19.5,9,0,0,10,62.6,27.9,0.2,0.3,0.3,0.3,0.0,87.2,87.7,88.7,46.9,60.2,39.1
Upton/Druid Heights,52.1,58.9,76.8,70.7,73.0,2.0,4.4,6.2,6.4,1.3,43.0,9.2,38.8,7.8,13.8,33.5,24.9,27.7,83.7,67.5,14.5,106,0,0,80,55.4,36.3,0.2,0.8,3.1,6.3,1.2,79.1,81.0,73.2,35.2,52.9,30.5
Washington Village/Pigtown,193.2,206.4,225.5,183.5,180.3,6.7,9.4,10.9,14.5,11.8,65.6,4.9,14.1,11.4,27.1,30.6,20.8,21.5,70.6,28.8,11.5,15,0,0,9,61.5,32.0,0.2,0.1,0.2,0.3,0.0,67.7,69.0,74.5,39.2,47.3,33.0
Westport/Mount Winans/Lakeland,67.3,73.9,59.4,47.6,46.6,1.5,6.0,4.8,5.8,2.2,54.8,20.1,21.6,0.9,14.7,39.9,21.5,23.9,45.5,28.9,22.1,6,0,0,1,63.3,32.9,9.4,2.6,0.3,0.3,0.0,62.3,62.2,64.5,38.3,39.6,30.1
Baltimore City,75.8,65.3,70.5,52.6,52.8,4.9,6.4,6.2,6.2,3.2,62.1,10.1,18.7,6.9,17.0,38.7,24.3,20.0,52.4,30.0,27.4,918,x,0,813,64.7,26.6,0.5,1.1,0.6,0.5,0.3,75.0,74.7,76.9,44.4,51.5,37.3
