CSA2010,Total Population (2010),Total Male Population (2010),Total Female Population (2010),Percent of Residents - Black/African-American (2010),Percent of Residents - White/Caucasian (2010),Percent of Residents - Asian (2010),Percent of Residents - Two or More Races (2010),"Percent of Residents - All Other Races (Hawaiian/ Pacific Islander, Alaskan/ Native American Other Race) (2010)",Percent of Residents - Hispanic (2010),Racial Diversity Index (2010),Percent of Population 0-5 years old (2010),Percent of Population 6-18 years old (2010),Percent of Population 19-24 years old (2010),Percent of Population 25-64 years old (2010),Percent of Population 65 years and over (2010),Total Number of Households (2010),Percent of Female-Headed Households with Children under 18 (2010),Percent of Households with Children Under 18 (2010),Average Household Size (2010),Median Household Income (2010-2014),"Percent of Households Earning Less than $25,000 (2010-2014)","Percent of Households Earning $25,000 to $40,000 (2010-2014)","Percent of Households Earning $40,000 to $60,000 (2010-2014)","Percent of Households Earning $60,000 to $75,000 (2010-2014)","Percent of Households Earning More than $75,000 (2010-2014)",Percent of Family Households Living Below the Poverty Line (2010-2014),Percent of Children Living Below the Poverty Line (2010-2014)
Greater Rosemont,"19,259","8,783","10,476",96.6,0.7,0.2,1.3,0.3,1,7.6,7.3,18.8,11,50,12.9,"6,893",68,35.4,2.8,"30,864.86",40.1,22.1,16.1,9.2,12.5,21.7,43.1
Greenmount East,"8,184","3,737","4,447",95.8,1.6,0.2,1.1,0.3,0.9,9.1,7.3,18,10.8,51.6,12.3,"3,115",71.2,34,2.7,"23,276.90",53,17.8,15,4.5,9.8,27.7,29.6
Hamilton,"13,002","6,012","6,990",56.5,37.1,1.2,2.3,0.7,2.3,55.2,5.9,17.5,8.4,57.4,10.9,"5,139",43.6,32.8,2.5,"63,986.00",19.4,14.6,12.9,12,41.2,8.5,13.9
Harbor East/Little Italy,"5,407","2,628","2,779",57.9,28.5,4.6,1.6,0.6,6.8,61.8,8.1,15.8,9.8,59.6,6.6,"2,305",74.6,28.7,2.2,"36,578.63",38.3,12.9,11.6,3.1,34.2,39.6,56.8
Harford/Echodale,"16,839","7,964","8,875",53,40.3,1,1.8,0.4,3.4,57,7.3,15.6,9.9,57,10.2,"6,914",44.4,31.9,2.4,"54,085.61",22.6,15.1,17.1,13.1,32,11,22.1
Highlandtown,"7,250","3,734","3,516",8.9,66.4,2.5,1.9,1.1,19.3,62.9,6.4,7.8,10.6,66,9.2,"3,196",32.4,17.4,2.3,"71,660.18",20.4,11,11.4,9.2,48,12.5,42.6
Howard Park/West Arlington,"10,873","4,949","5,924",94.3,2.2,0.3,1.3,0.3,1.6,12.7,5.5,15.2,9.3,50.9,19.1,"4,204",54.4,30.3,2.5,"39,467.86",31.2,19.8,17.1,9.4,22.4,18,35.5
Inner Harbor/Federal Hill,"12,855","6,528","6,327",11.5,79.5,3.9,1.6,0.4,3.2,36.2,4.7,4.8,13.3,66.6,10.6,"6,724",27,11.4,2,"88,854.21",19.9,6.1,11,7.2,55.8,5.3,9.2
Lauraville,"12,273","5,757","6,516",58,35.8,1,2.4,0.6,2.3,54.6,6,16.6,8.9,57.9,10.6,"4,686",40.3,31.9,2.6,"66,195.71",15.9,13.1,14.6,15.5,40.9,8.3,12.7
Loch Raven,"15,311","6,631","8,680",87.6,7.6,1.3,1.5,0.2,1.8,24.2,6.1,16,11.4,54.7,11.8,"6,589",54.9,30.7,2.3,"47,992.10",24.5,15.8,25.1,17,17.6,13.7,25.5
Madison/East End,"7,781","3,587","4,194",90.3,3.1,0.8,1.2,0.6,4,23.2,10.4,22.3,13.2,47.5,6.6,"2,302",70,51,3.3,"27,454.05",47.4,14,16.5,10.5,11.5,29.3,52.2
Medfield/Hampden/Woodberry/Remington,"17,388","8,322","9,066",11.6,77.2,5,2.2,0.5,3.6,40.4,4.8,8.4,9.1,61.5,16.2,"8,289",31.5,17.6,2.1,"58,210.00",19.2,13.7,18.7,13.8,34.6,8.3,16.3
Midtown,"15,020","7,305","7,715",32.1,52.7,7.8,2.9,0.5,3.9,61.8,2.4,3.6,22.6,58.7,12.8,"9,078",41.4,6,1.7,"38,866.80",36,15,14.1,9.2,25.7,8.7,17.2
